number,district,id,in_cycle,dist_type,incum_party,incum_last,incum_first,sen_dist_match
32,HD 32,001450005544,yes,HD,R,MEYERS,G. BRUCE,SD 16
33,HD 33,001450005545,yes,HD,R,LANG,MIKE,SD 17
34,HD 34,001450005546,yes,HD,R,KNUDSEN,AUSTIN,SD 17
35,HD 35,001450005547,yes,HD,R,STAFFANSON,SCOTT,SD 18
36,HD 36,001450005548,yes,HD,R,DOANE,ALAN,SD 18
37,HD 37,001450005549,yes,HD,R,RANDALL,LEE,SD 19
38,HD 38,001450005550,yes,HD,R,HOLMLUND,KENNETH,SD 19
39,HD 39,001450005551,yes,HD,R,CUSTER,GERALDINE,SD 20
40,HD 40,001450005553,yes,HD,R,BERRY,TOM,SD 20
41,HD 41,001450005554,yes,HD,D,PEPPERS,RAE,SD 21
42,HD 42,001450005555,yes,HD,D,PEASE-LOPEZ,CAROLYN,SD 21
43,HD 43,001450005556,yes,HD,R,FISCUS,CLAYTON,SD 22
44,HD 44,001450005557,yes,HD,R,MORTENSEN,DALE,SD 22
45,HD 45,001450005558,yes,HD,R,ZOLNIKOV,DANIEL,SD 23
46,HD 46,001450005559,yes,HD,R,JONES,DONALD,SD 23
47,HD 47,001450005560,yes,HD,D,KELKER,KATHY,SD 24
48,HD 48,001450005561,yes,HD,D,KARJALA,JESSICA,SD 24
49,HD 49,001450005562,yes,HD,D,MCCARTHY,KELLY,SD 25
50,HD 50,001450005564,yes,HD,D,COURT,VIRGINIA,SD 25
51,HD 51,001450005565,yes,HD,D,MACDONALD,MARGARET ( MARGIE ),SD 26
52,HD 52,001450005566,yes,HD,R,HAGSTROM,DAVE,SD 26
53,HD 53,001450005567,yes,HD,R,LASZLOFFY,SARAH,SD 27
54,HD 54,001450005568,yes,HD,R,ESSMANN,JEFF,SD 27
55,HD 55,001450005569,yes,HD,R,RICCI,VINCE,SD 28
56,HD 56,001450005570,yes,HD,R,RICHMOND,TOM,SD 28
57,HD 57,001450005571,yes,HD,R,MANDEVILLE,FORREST,SD 29
58,HD 58,001450005572,yes,HD,R,BERGLEE,SETH,SD 29
59,HD 59,001450005573,yes,HD,R,REDFIELD,ALAN,SD 30
60,HD 60,001450005575,yes,HD,R,LAMM,DEBRA,SD 30
61,HD 61,001450005576,yes,HD,D,WILLIAMS,KATHLEEN,SD 31
62,HD 62,001450005577,yes,HD,D,WOODS,TOM,SD 31
63,HD 63,001450005578,yes,HD,D,BROWN,ZACH,SD 32
64,HD 64,001450005579,yes,HD,R,WHITE,KERRY,SD 32
65,HD 65,001450005580,yes,HD,D,POPE,CHRISTOPHER,SD 33
66,HD 66,001450005581,yes,HD,D,HAYMAN,DENISE,SD 33
67,HD 67,001450005582,yes,HD,R,BURNETT,TOM,SD 34
68,HD 68,001450005583,yes,HD,R,WITTICH,ART,SD 34
69,HD 69,001450005584,yes,HD,R,MONFORTON,MATTHEW,SD 35
70,HD 70,001450005586,yes,HD,R,FLYNN,KELLY,SD 35
71,HD 71,001450005587,yes,HD,R,SHAW,RAY,SD 36
72,HD 72,001450005588,yes,HD,R,WELBORN,JEFFREY,SD 36
73,HD 73,001450005589,yes,HD,D,MCCLAFFERTY,EDIE,SD 37
74,HD 74,001450005590,yes,HD,D,NOONAN,PAT,SD 37
75,HD 75,001450005591,yes,HD,R,WAGONER,KIRK,SD 38
76,HD 76,001450005592,yes,HD,D,LYNCH,RYAN,SD 38
77,HD 77,001450005593,yes,HD,D,SWANSON,KATHY,SD 39
78,HD 78,001450005594,yes,HD,D,PIERSON,GORDON,SD 39
79,HD 79,001450005595,yes,HD,D,ECK,JENNY,SD 40
80,HD 80,001450005597,yes,HD,R,MILLER,MIKE,SD 40
81,HD 81,001450005598,yes,HD,D,ELLIS,JANET,SD 41
82,HD 82,001450005599,yes,HD,D,FUNK,MOFFIE,SD 41
83,HD 83,001450005600,yes,HD,D,HUNTER,CHUCK,SD 42
84,HD 84,001450005601,yes,HD,D,DUNWELL,MARY ANN,SD 42
85,HD 85,001450005602,yes,HD,R,MANZELLA,THERESA,SD 43
86,HD 86,001450005603,yes,HD,R,EHLI,RON,SD 43
87,HD 87,001450005604,yes,HD,R,BALLANCE,NANCY,SD 44
88,HD 88,001450005605,yes,HD,R,GREEF,EDWARD,SD 44
89,HD 89,001450005606,yes,HD,D,MCCONNELL,NATE,SD 45
90,HD 90,001450005608,yes,HD,D,HILL,ELLIE BOLDMAN,SD 45
91,HD 91,001450005609,yes,HD,D,BENNETT,BRYCE,SD 46
92,HD 92,001450005610,yes,HD,R,MOORE,DAVID ( DOC ),SD 46
93,HD 93,001450005611,yes,HD,R,SALOMON,DANIEL,SD 47
94,HD 94,001450005612,yes,HD,D,DUDIK,KIMBERLY,SD 47
95,HD 95,001450005613,yes,HD,D,WILSON,NANCY,SD 48
96,HD 96,001450005614,yes,HD,D,PERSON,ANDREW,SD 48
97,HD 97,001450005615,yes,HD,R,TSCHIDA,BRAD,SD 49
98,HD 98,001450005616,yes,HD,D,CURDY,WILLIS,SD 49
99,HD 99,001450005617,yes,HD,D,STEENBERG,TOM,SD 50
100,HD 100,001450005520,yes,HD,D,OLSEN,ANDREA,SD 50
